name,location_label,address,city,website,status,closed_evidence,source,artguide_address,method,extracted_date
DIANA,,127 Henry Street,New York,http://diananewyork.com,unclear,,artguide,127 Henry Street,browserbase,2026-08-07
dieFirma,,32A Cooper Square,New York,http://diefirmanyc.com,open,,artguide,32A Cooper Square,browserbase,2026-08-07
Dieu Donné,,63 Flushing Avenue • Building 3 • Suite 602,"Brooklyn, NY",http://dieudonne.org,open,,artguide,"63 Flushing Ave, Unit 112, Building 3, Suite #602, Brooklyn Navy Yard",http:homepage,2026-08-07
Dog House Gallery,,137 Montrose Avenue,New York,http://www.instagram.com/dog_house_gallery/,unclear,,artguide,137 Montrose Avenue,browserbase,2026-08-07
Dracula's Revenge,Dracula's Revenge 4,105 Henry St,"New York, NY 10002",http://draculasrevenge.net,open,,artguide,218 Centre Street,browserbase,2026-08-07
Dracula's Revenge,Dracula's Revenge 6,218 Centre St,"New York, NY 10013",http://draculasrevenge.net,open,,artguide,218 Centre Street,browserbase,2026-08-07
Dracula's Revenge,Dracula's Revenge 3,29 Henry St,"New York, NY 10002",http://draculasrevenge.net,open,,artguide,218 Centre Street,browserbase,2026-08-07
Dream House,MELA Foundation Dream House,"275 Church Street, 3rd Floor",New York,http://melafoundation.org,open,,artguide,"275 Church Street, 3rd Floor",http:homepage,2026-08-07
Duane Thomas Gallery,,"137 West Broadway, 3rd Floor",New York,http://duanethomasgallery.com,unclear,,artguide,"137 West Broadway, 3rd Floor",browserbase,2026-08-07
Duckworth Gallery,,169 Coffey Street,New York,http://duckworthgallery.com,unclear,,artguide,169 Coffey Street,http:homepage,2026-08-07
Dunkunsthalle,,64 Fulton Street,New York,http://www.dunkunsthalle.com,unclear,,artguide,64 Fulton Street,browserbase,2026-08-07
DUTTON,,48 Hester Street,New York,http://soniadutton.com,unclear,,artguide,48 Hester Street,browserbase-failed,2026-08-07
Ed. Varie,,49 Monroe,New York,http://edvarie.com,unclear,,artguide,4.5 Cortlandt Allery,browserbase,2026-08-07
EERDMANS,,"14 East 10th Street, Ground Fl.",New York,http://eerdmansnewyork.com,unclear,,artguide,"14 East 10th Street, Ground Fl.",http:/about,2026-08-07
EFA 3rd Floor Gallery,EFA Studio Program,323 W 39th St,New York,http://studios-efanyc.org/exhibitions,open,,artguide,"323 West 39th Street, 2nd Floor",http:homepage,2026-08-07
EFA 3rd Floor Gallery,EFA Gallery,"323 West 39th St., 3rd Floor",New York,http://studios-efanyc.org/exhibitions,open,,artguide,"323 West 39th Street, 2nd Floor",http:homepage,2026-08-07
EFA Robert Blackburn Printmaking Workshop,EFA Robert Blackburn Printmaking Workshop,323 West 39th Street,"New York, NY 10018",http://rbpmw-efanyc.org,open,,artguide,"323 West 39th Street, 2nd Floor",http:homepage,2026-08-07
EFA Studios,EFA Studio Program,"323 West 39th Street, 3rd Floor",New York,http://studios-efanyc.org,open,,artguide,"323 West 39th Street, 3rd Fl.",http:homepage,2026-08-07
Efraín López,,"356 Broadway, Unit LL15",New York,http://efrainlopez.co,unclear,,artguide,"356 Broadway, Unit LL15",browserbase,2026-08-07
Electronic Arts Intermix,,"264 Canal Street, 3W",New York City,http://eai.org,open,,artguide,"264 Canal Street, #3W",http:homepage,2026-08-07
Eleventh Hour Art,,"61 Atlantic Avenue, Brooklyn NY 11201",Brooklyn,http://eleventhhourart.com,open,,artguide,61 Atlantic Avenue,browserbase,2026-08-07
Elliott Templeton Fine Arts,,105 Henry Street,New York,http://elliotttempleton.nyc,open,,artguide,105 Henry Street,browserbase,2026-08-07
Elza Kayal Gallery,,"368 Broadway, Suite 409",New York,http://elzakayal.com,open,,artguide,"368 Broadway, Suite #409",browserbase,2026-08-07
embryogallery,,"32 Union Square East, Suite 911",New York City,http://embryogallery.com,open,,artguide,32 Union Sq East,browserbase,2026-08-07
Emily Harvey Foundation,New York,"537 BROADWAY, NEW YORK, NY 10012, USA",New York,http://emilyharveyfoundation.org,open,,artguide,"537 Broadway, 2nd Fl.",browserbase,2026-08-07
empire,,"53 E 34th Street, #308",New York,http://theempire.biz,unclear,,artguide,"53 E 34th Street, #308",browserbase,2026-08-07
End Scene,41 Orchard,41 Orchard,"New York, NY, 10002",http://endscenegallery.com,open,,artguide,41 Orchard Street,browserbase,2026-08-07
ENORME,,"41 Union Square W, #612",NYC,http://enorme.nyc,open,,artguide,"41 Union Square West, #612",http:homepage,2026-08-07
ensemble,,"401 Broadway, #1902",New York,http://ensemble.nyc,unclear,,artguide,"401 Broadway, #1902",browserbase,2026-08-07
Eric Firestone Gallery,The Loft,"4 Great Jones Street, No. 3",New York,http://ericfirestonegallery.com,open,,artguide,40 Great Jones Street,http:homepage,2026-08-07
Eric Firestone Gallery,,40 Great Jones Street,New York,http://ericfirestonegallery.com,open,,artguide,40 Great Jones Street,http:homepage,2026-08-07
Essex Flowers,,19 MONROE ST,"NEW YORK, NY",http://essexflowers.us,open,,artguide,19 Monroe Street,browserbase,2026-08-07
Established Gallery,,75 6th Avenue,New York,http://establishedgallery.com,unclear,,artguide,75 6th Avenue,http:homepage,2026-08-07
Ethan Cohen Gallery,NEW YORK – 17TH ST,225 w 17th st,New York,http://ecfa.com,open,,artguide,225 West 17th Street,http:homepage,2026-08-07
Ethan Cohen Gallery,NEW YORK – 19TH ST,251 W 19th St,New York,http://ecfa.com,open,,artguide,225 West 17th Street,http:homepage,2026-08-07
EUROPA,,"125 Division Street, 2nd Fl.",New York,http://europa.nyc,unclear,,artguide,"125 Division Street, 2nd Fl.",browserbase,2026-08-07
Eva Presenhuber,,,New York,https://www.evapresenhuber.com/en/catalogue,open,,major-added,,http:homepage,2026-08-07
Eyebeam,,185 Wythe Avenue Office F1,New York,http://eyebeam.org,unclear,,artguide,185 Wythe Avenue Office F1,http:homepage,2026-08-07
Falcon,,"520 8th Ave, 15th Floor",New York,http://falconnyc.com,open,,artguide,111 Broadway,http:homepage,2026-08-07
Faurschou New York,,148 Green Street,New York,http://faurschou.com,unclear,,artguide,148 Green Street,http:/about,2026-08-07
Fergus McCaffrey,New York,514 West 26th Street,New York,http://fergusmccaffrey.com,open,,artguide,514 West 26th Street,http:homepage,2026-08-07
Field of Play,,126 13th Street,"Brooklyn, NY 11215",http://fieldofplaybk.com,open,,artguide,126 13th Street,browserbase,2026-08-07
Fierman,,19 PIKE STREET,"NEW YORK, NY 10002",https://fierman.nyc/,open,,major-added,,http:homepage,2026-08-07
Findlay Galleries,New York,"32 East 57th Street, 2nd Floor","New York, New York",http://findlaygalleries.com,open,,artguide,"32 East 57th Street, 2nd Floor",http:homepage,2026-08-07
First Street Green Art Park,OSMOS Address,50 East First Street,New York,http://firststreetgreenpark.org/,open,,artguide,33 East 1st Street,http:homepage,2026-08-07
First Street Green Art Park,First Street Green Art Park,corner of Houston Street and Second Avenue,New York,http://firststreetgreenpark.org/,open,,artguide,33 East 1st Street,http:homepage,2026-08-07
FiveMyles,,558 St Johns Place,Brooklyn,http://fivemyles.org,open,,artguide,558 St. Johns Place,browserbase,2026-08-07
Flow Space Gallery,Flow Space Gallery,526 W 26th St #807,New York,http://flowspacegallery.com,open,,artguide,"526 W 26th Street, #807",http:homepage,2026-08-07
Flux Factory,Flux Factory (29th St),"39-31 29th Street, Long Island City, NY 11101",Long Island City,http://fluxfactory.org,open,,artguide,39-31 29th Street,http:/contact,2026-08-07
Foreign & Domestic,,24 rutgers street,New York,http://foreigndomestic.io,open,,artguide,24 Rutgers Street,browserbase,2026-08-07
Fort Gansevoort,Fort Gansevoort New York,5 Ninth Avenue,New York,http://fortgansevoort.com,open,,artguide,5 9th Avenue,browserbase,2026-08-07
Fountain House Gallery,Fountain House Gallery,702 Ninth Avenue,New York,http://fountainhousegallery.org,open,,artguide,702 9th Avenue,http:homepage,2026-08-07
Foxy Production,,,New York,https://foxyproduction.com/,unclear,,major-added,,browserbase,2026-08-07
François Ghebaly,New York,391 Grand Street,New York,http://ghebaly.com,open,,artguide,391 Grand Street,browserbase,2026-08-07
Fredericks & Freiser,,"536 WEST 24TH STREET, NEW YORK 10011",New York,http://fredericksfreisergallery.com,open,,artguide,536 West 24th Street,browserbase,2026-08-07
Fremin Gallery,,520 West 23rd Street,New York,http://fremingallery.com,unclear,,artguide,520 West 23rd Street,http:/about,2026-08-07
French Institute Alliance Française (FIAF),Manhattan,22 East 60th Street,New York,http://fiaf.org,open,,artguide,22 East 60th Street,browserbase,2026-08-07
Friedman Benda,Friedman Benda,515 WEST 26TH STREET,New York,http://friedmanbenda.com,open,,artguide,515 West 26th Street,http:homepage,2026-08-07
Friedrichs Pontone,FRIEDRICHS PONTONE,273 CHURCH ST,"NEW YORK, NY 10013",http://friedrichspontone.com,unclear,,artguide,273 Church Street,http:homepage,2026-08-07
Fu Qiumeng Fine Art,,"65 E 80th St, Ground Floor",New York,http://fuqiumeng.com,open,,artguide,"65 East 80th Street, Ground Floor",http:homepage,2026-08-07
Gaa,,4 Cortlandt Alley,New York,http://gaa-gallery.com,open,,artguide,4 Cortlandt Alley,browserbase,2026-08-07
Gagosian,,"541 West 24th Street, New York",New York,http://gagosian.com,open,,artguide,555 West 24th Street,http:homepage,2026-08-07
Gagosian,,980 Madison Avenue,New York,http://gagosian.com,open,,artguide,555 West 24th Street,http:homepage,2026-08-07
Gala Art Center,,15-08 121st St,New York,http://galaartcenter.org,open,,artguide,15-08 121st St,browserbase,2026-08-07
Galería Azur,GALERIA AZUR NEW YORK,"157 Bowery, New York, NY, USA",New York,http://galeriaazur.art/us,open,,artguide,157 Bowery,browserbase,2026-08-07
Galerie Carole Kvasnevski,,"526 W 26th Street, Suite 305 A, 3rd Fl.",New York,http://galeriecarolekvasnevski.com,open,,artguide,"526 W 26th Street, Suite 305 A, 3rd Fl.",http:homepage,2026-08-07
Galerie Fleiss-Vallois,,1018 Madison Avenue 5th & PH Floors,New York,http://fleiss-vallois.com,open,,artguide,"1018 Madison Avenue, 5th & 6th Fl.",browserbase,2026-08-07
Galerie Gmurzynska,New York,"595 Madison Avenue, 6th Floor",New York,http://gmurzynska.com,unclear,,artguide,"595 Madison Avenue, 6th Floor",browserbase,2026-08-07
Galerie Ground,New York,80 Richards St.,"Brooklyn, NY 11231",http://galerieground.com,open,,artguide,80 Richards Street,browserbase,2026-08-07
Galerie Khoshbakht,,136 Orchard Street,New York,http://khoshbakht.de,open,,artguide,136 Orchard Street,http:homepage,2026-08-07
Galerie Lelong,"Galerie Lelong, New York",528 West 26th Street,New York,https://galerielelong.com/,open,,major-added,,http:/about,2026-08-07
Galerie RX,SLAG&RX | New York,"522 West, 19th street New York, NY, 10011 - USA",New York,http://galerierx.com,open,,artguide,522 West 19th Street,http:/contact,2026-08-07
Galerie Sardine,New York,61 Lispenard Street,New York,http://galeriesardine.com,open,,artguide,61 Lispenard Street,browserbase,2026-08-07
Galerie Shibumi,,261 West 35th Street - 14th floor,New York,http://galerieshibumi.com,open,,artguide,"261 W 35th Street, 14th Fl.",browserbase,2026-08-07
Galerie Timonier,,"246 West Broadway, 2nd Floor",New York,http://galerie-timonier.com,open,,artguide,"246 West Broadway, 2nd Floor",browserbase,2026-08-07
Galerie Yeche Lange,,"11 Broadway, Suite #1530",New York,http://yl.baby,unclear,,artguide,"11 Broadway, Suite #1530",browserbase,2026-08-07
Gallatin Galleries,,1 Washington Pl @ Broadway,New York,http://wp.nyu.edu/gallatingalleries,open,,artguide,1 Washington Place,http:homepage,2026-08-07
Gallery 456,Chinese American Arts Council (CAAC),"456 Broadway, 3rd Floor",New York,http://caacarts.org,unclear,,artguide,"456 Broadway, 3rd Floor",browserbase,2026-08-07
Gallery 71,,"974 Lexington Avenue, @ 71st Street",New York,http://gallery71.com,open,,artguide,974 Lexington Avenue,browserbase,2026-08-07
Gallery Chang,C1 - New York,"150 West 55th Street, New York, NY 10019",New York,http://artgallerychang.com,open,,artguide,150 West 55th Street,http:/about,2026-08-07
Gallery Hyundai New York Project Space,,"529 W 20th Street, #6E",New York,http://galleryhyundai.com,open,,artguide,"529 W 20th Street, #6E",browserbase,2026-08-07
gallery onetwentyeight,,128 Rivington Street,New York,http://galleryonetwentyeight.org,unclear,,artguide,128 Rivington Street,browserbase,2026-08-07
Gallery Wave,Gallery Wave,"1031 2nd Ave, New York, NY 10022",New York,http://wave.gallery60nyc.com,open,,artguide,1031 2nd Avenue,browserbase,2026-08-07
Gallery Wave,Gallery 60 NYC,"208 E 60th St, New York, NY 10022",New York,http://wave.gallery60nyc.com,open,,artguide,1031 2nd Avenue,browserbase,2026-08-07
Gallery517,Gallery 517,517 West 29th Street,New York,http://517west29th.com/gallery-517,open,,artguide,517 West 29th Street,browserbase,2026-08-07
Gandt,,"31-45 37th Street, #G",New York,http://gandtmedia.org,unclear,,artguide,"31-45 37th Street, #G",browserbase,2026-08-07
Garth Greenan Gallery,,545 West 20th Street,New York,https://www.garthgreenan.com/,unclear,,major-added,,http:homepage,2026-08-07
Garvey,Artisan Lofts,143 Reade Street,New York,http://garveysimon.com,open,,artguide,"41 East 57th Street, 11th Fl.",http:homepage,2026-08-07
Garvey,DFN Projects,16 East 79th Street,New York,http://garveysimon.com,open,,artguide,"41 East 57th Street, 11th Fl.",http:homepage,2026-08-07
Garvey,DFN Projects,41 E 57th St. 11th Fl.,New York,http://garveysimon.com,open,,artguide,"41 East 57th Street, 11th Fl.",http:homepage,2026-08-07
Garvey,,"547 West 27th Street, Suite 209",New York,http://garveysimon.com,open,,artguide,"41 East 57th Street, 11th Fl.",http:homepage,2026-08-07
GEMS,GEMS,2 E Broadway,New York,http://gemsss.nyc,open,,artguide,2 East Broadway,http:homepage,2026-08-07
George Billis Gallery,New York City,"122 Norfolk Street, Ground Floor Lower East Side Art District, New York, NY 10002",New York,http://georgebillis.com,unclear,,artguide,122 Norfolk Street,http:homepage,2026-08-07
Georges Bergès Gallery,,462 West Broadway,New York,http://bergesgallery.com,open,,artguide,462 West Broadway,http:homepage,2026-08-07
Gern en Regalia,,105 #5 Henry street,"New York, NY",http://gernenregalia.com,open,,artguide,"105 Henry Street, #5 Basement Level",http:homepage,2026-08-07
Gitterman Gallery,,"3 East 66th Street, 1B",New York,http://gittermangallery.com,open,,artguide,"3 East 66th Street, #1B",browserbase,2026-08-07
Gladstone Gallery,New York,"130 East 64th Street, New York, NY 10065",New York,http://gladstonegallery.com,open,,artguide,530 West 21st Street,http:/about,2026-08-07
Gladstone Gallery,New York,"515 West 24th Street, New York, NY 10011",New York,http://gladstonegallery.com,open,,artguide,530 West 21st Street,http:/about,2026-08-07
Gladstone Gallery,New York,"530 West 21st Street, New York, NY 10011",New York,http://gladstonegallery.com,open,,artguide,530 West 21st Street,http:/about,2026-08-07
GLORIA'S,,5 Eldridge Street,New York,http://gloriasprojectspace.com,unclear,,artguide,5 Eldridge Street,browserbase,2026-08-07
Goethe-Institut New York,,30 Irving Place,New York,http://goethe.de/ins/us/en/sta/ney/ver.cfm,unclear,,artguide,30 Irving Place,http:homepage,2026-08-07
GOLESTANI,New York,19 Pike Street,New York,http://golestani.gallery,unclear,,artguide,19 Pike Street,browserbase,2026-08-07
Good Naked Gallery,,252 Java Street,New York,http://goodnakedgallery.com,open,,artguide,252 Java Street,browserbase,2026-08-07
Goodman Gallery,New York,"23 East 67th Street, 2nd Floor, New York, NY 10065",New York,http://goodman-gallery.com/exhibitions/location/245,open,,artguide,"23 East 67th Street, Suite #2",http:homepage,2026-08-07
Gordon Gallery,Gordon Gallery New York,139 norfolk st.,New York,http://gordongallery.co.il,open,,artguide,139 Norfolk Street,http:homepage,2026-08-07
Gordon Robichaux,,22 East 17th Street,New York,http://gordonrobichaux.com,open,,artguide,"41 Union Square West, Suite #925 & #907",browserbase,2026-08-07
Gordon Robichaux,,"41 Union Square West, #925 and #907",New York,http://gordonrobichaux.com,open,,artguide,"41 Union Square West, Suite #925 & #907",browserbase,2026-08-07
Gratin,,291 Grand St,New York,http://gratin.com,open,,artguide,"291 Grand Street, 2nd Floor",http:homepage,2026-08-07
Gratin,,76 Avenue B,New York,http://gratin.com,open,,artguide,"291 Grand Street, 2nd Floor",http:homepage,2026-08-07
Great Hall,NYU Institute of Fine Arts,"1 East 78th Street, The James B. Duke House",New York,http://ifa.nyu.edu/events/great-hall-exhibitions.htm,unclear,,artguide,"1 East 78th Street, The James B. Duke House",http:/about,2026-08-07
Greene Naftali,Ground Floor & 8th Floor,508 West 26th Street,New York,https://greenenaftaligallery.com/,open,,major-added,,http:homepage,2026-08-07
Grey Art Museum,Grey Art Museum,18 Cooper Square,New York,http://greyartgallery.nyu.edu,open,,artguide,"18 Cooper Square, New York University",browserbase,2026-08-07
Grimm,New York,54 White Street,New York,https://grimmgallery.com/,open,,major-added,,http:homepage,2026-08-07
Guest Gallery,,Crown Heights,New York,http://guestgallery.art,unclear,,artguide,Crown Heights,browserbase,2026-08-07
Guild Gallery,RW Guild,309 CANAL Street,"new york, ny",http://rwguildgalleryny.com,open,,artguide,321 Canal Street,browserbase,2026-08-07
Guild Gallery,Guild Gallery New York,321 canal st,"new york, ny 10013",http://rwguildgalleryny.com,open,,artguide,321 Canal Street,browserbase,2026-08-07
Guy Hepner,,"177 10th Avenue, New York, NY 10011",New York,http://guyhepner.com,open,,artguide,"521 W 26th Street, 5th Floor",http:homepage,2026-08-07
Gypsum Gallery,New York,4.5 Cortlandt Alley,New York,http://gypsumgallery.com,open,,artguide,4.5 Cortlandt Alley,browserbase,2026-08-07
HAIR+NAILS,New York,39 Henry Street,New York,http://hairandnailsart.com,unclear,,artguide,39 Henry Street,browserbase,2026-08-07
Halcyon,,413 West Broadway,New York,http://halcyongallery.com,open,,artguide,413 West Broadway,http:homepage,2026-08-07
Hales Gallery,New York,547 W 20th Street,New York,http://halesgallery.com,unclear,,artguide,547 W 20th Street,http:homepage,2026-08-07
Half Gallery,,235 E 4th St,"New York, NY",https://halfgallery.com/,open,,major-added,,http:homepage,2026-08-07
Halsey McKay,BROOKLYN,60 Greenpoint Avenue,"Brooklyn, NY",http://halseymckay.com,open,,artguide,60 Greenpoint Avenue,http:/contact,2026-08-07
Hannah Traore Gallery,,150 Orchard Street,New York,http://hannahtraoregallery.com,open,,artguide,150 Orchard Street,http:/about,2026-08-07
Hardware Gallery,,154 Chambers Street,New York,http://juliekeyesart.com,unclear,,artguide,154 Chambers Street,browserbase,2026-08-07
Harkawik,New York,88 Walker St,"New York, NY, 10013",https://www.harkawik.com/,open,,major-added,,http:/about,2026-08-07
Harper's,Harper's Books,504 West 22nd Street,"New York, NY 10011",http://harpersgallery.com,open,,artguide,512 West 22nd Street,http:/info,2026-08-07
Harper's,Harper's Apartment,"51 East 74th Street, Buzzer 2X","New York, NY 10021",http://harpersgallery.com,open,,artguide,512 West 22nd Street,http:/info,2026-08-07
Harper's,Harper's Chelsea 512,512 West 22nd Street,"New York, NY 10011",http://harpersgallery.com,open,,artguide,512 West 22nd Street,http:/info,2026-08-07
Harper's,Harper's Chelsea 534,534 West 22nd Street,"New York, NY 10011",http://harpersgallery.com,open,,artguide,512 West 22nd Street,http:/info,2026-08-07
hatred 2,,"576 3rd Avenue, #2L",New York,http://hatred2.github.io,unclear,,artguide,"576 3rd Avenue, #2L",browserbase,2026-08-07
haul gallery,,"24 15th Street, Unit #207",New York,http://haul.gallery,unclear,,artguide,"24 15th Street, Unit #207",browserbase,2026-08-07
Hauser & Wirth,Wooster Street,134 Wooster Street,New York,http://hauserwirth.com,unclear,,artguide,134 Wooster Street,browserbase,2026-08-07
Hauser & Wirth,East 69th Street,32 East 69th Street,New York,http://hauserwirth.com,unclear,,artguide,32 East 69th Street,browserbase,2026-08-07
Hauser & Wirth,18th Street,443 West 18th Street,New York,http://hauserwirth.com,unclear,,artguide,443 West 18th Street,browserbase,2026-08-07
Hauser & Wirth,542 West 22nd Street,542 West 22nd Street,New York,http://hauserwirth.com,unclear,,artguide,542 West 22nd Street,browserbase,2026-08-07
Heft Gallery,,"300 Broome, btwn Forsyth + Eldridge north side",New York,http://heftgallery.com,open,,artguide,300 Broome Street,http:homepage,2026-08-07
Heller Gallery,The Curator Lab,529 west 20th Street 2nd floor,"New York, NY",http://hellergallery.com,open,,artguide,303 10th Avenue,browserbase,2026-08-07
Helm Contemporary,,"132 Bowery, 3rd Floor",New York,http://helmcontemporary.com,unclear,,artguide,"132 Bowery, 3rd Floor",browserbase,2026-08-07
Helwaser Gallery,,"833 Madison Ave, Third Floor","New York, NY",http://helwasergallery.com,open,,artguide,"833 Madison Avenue, 3rd Floor",http:homepage,2026-08-07
Henrique Faria Fine Art,,35 East 67th Street 4th Floor,New York,http://henriquefaria.com,open,,artguide,"35 East 67th Street, 4th Floor",browserbase,2026-08-07
High Line Nine,High Line Nine - West 27th Street entrance,507 West 27th Street,New York,http://highlinenine.com,open,,artguide,Entrances at 507 West 27th St and 508 West 28th St,browserbase,2026-08-07
High Line Nine,High Line Nine - West 28th Street entrance,508 West 28th Street,New York,http://highlinenine.com,open,,artguide,Entrances at 507 West 27th St and 508 West 28th St,browserbase,2026-08-07
High Noon,,68 Reade Street,New York,http://highnoongallery.com,unclear,,artguide,68 Reade Street,browserbase,2026-08-07
Higher Pictures,Higher Pictures,45 Main Street #723,"Brooklyn, New York 11201",http://higherpicturesgeneration.com,open,,artguide,"45 Main Street, #723",browserbase,2026-08-07
Hirschl & Adler,The Fuller Building,"41 East 57th Street, New York, NY 10022",New York,https://www.hirschlandadler.com/,open,,major-added,,browserbase,2026-08-07
Hirschl & Adler,The Crown Building,"730 Fifth Avenue, New York, NY 10019",New York,https://www.hirschlandadler.com/,open,,major-added,,browserbase,2026-08-07
Hoffman Donahue,New York,"99 Bowery, 2nd Floor, 10002",New York,http://hoffmandonahue.com,open,,artguide,"99 Bowery, 2nd Floor",browserbase,2026-08-07
Hoffman Maler Wallenberg,New York office,59 West 12th Street,New York,http://hoffmannmalerwallenberg.com,open,,artguide,"88 Eldridge Street, 5th Floor",http:/about,2026-08-07
Hollis Taggart,,109 Norfolk Street,New York,https://www.hollistaggart.com/,open,,major-added,,http:homepage,2026-08-07
Hollis Taggart,,"521 West 26th Street, 1st & 2nd Floors",New York,https://www.hollistaggart.com/,open,,major-added,,http:homepage,2026-08-07
Hostler Burrows,Hostler Burrows,35 East 10th Street,New York,http://hostlerburrows.com,open,,artguide,35 East 10th Street,http:homepage,2026-08-07
Hostler Burrows,HB381,381 Broadway,New York,http://hostlerburrows.com,open,,artguide,35 East 10th Street,http:homepage,2026-08-07
Howl! Happening,Howl! Arts/Howl! Archive (HA/HA),"250 Bowery, 2nd Floor",NYC,http://howlarts.org,open,,artguide,6 East 1st Street,browserbase,2026-08-07
Howl! Happening,Howl! Happening,6 East 1st Street,NYC,http://howlarts.org,open,,artguide,6 East 1st Street,browserbase,2026-08-07
Hunter College Art Galleries,Bertha and Karl Leubsdorf Gallery,132 East 68th Street,"New York, NY 10065",http://huntercollegeartgalleries.org,open,,artguide,695 Park Avenue,browserbase,2026-08-07
Hunter College Art Galleries,205 Hudson Gallery,205 Hudson Street at Canal Street,"New York, NY 10013",http://huntercollegeartgalleries.org,open,,artguide,695 Park Avenue,browserbase,2026-08-07
Hunter College Art Galleries,Hunter East Harlem Gallery,2180 3rd Avenue at 119th Street,"New York, NY 10035",http://huntercollegeartgalleries.org,open,,artguide,695 Park Avenue,browserbase,2026-08-07
Hunter Dunbar Projects,,524 West 24th Street,New York,http://hunterdunbarprojects.com,unclear,,artguide,524 West 24th Street,http:homepage,2026-08-07
Hunter East Harlem Gallery,Hunter East Harlem Gallery,2180 3rd Avenue at 119th Street,New York,http://huntereastharlemgallery.org,closed,Hunter East Harlem Gallery is currently CLOSED for renovation. We are moving to a new space in the same building at the Silberman School for Social Work and are excited to reopen in Spring 2027.,artguide,"2180 3rd Avenue, The Silberman School of Social Work",browserbase,2026-08-07
"I.C Editions, Inc.",,522 West 24th Street,New York,http://iceditions.com,open,,artguide,522 West 24th Street,http:homepage,2026-08-07
icebox4,icebox4 main gallery,128 Rivington St.,New York,http://icebox4.com,open,,artguide,"53 S 11th Street, #4A",http:homepage,2026-08-07
icebox4,Hudson Guild Gallery,441 W 26th St.,New York,http://icebox4.com,open,,artguide,"53 S 11th Street, #4A",http:homepage,2026-08-07
icebox4,Icebox4 Salon,53 S. 11th Street #4A,Brooklyn,http://icebox4.com,open,,artguide,"53 S 11th Street, #4A",http:homepage,2026-08-07
ILY2 NYC,ILY2 New York,35 St James Pl,New York,http://ily2online.com,open,,artguide,35 Saint James Place,http:homepage,2026-08-07
In The Gallery at Brooklyn Metal Works,Brooklyn Metal Works,"640 Dean Street, Brooklyn, NY, 11238, United States",Brooklyn,http://bkmetalworks.com/gallery,open,,artguide,640 Dean Street,browserbase,2026-08-07
Incubator,New York,"291 Grand Street, 4th Fl.",New York,http://incubatorart.com,open,,artguide,"291 Grand Street, 4th Fl.",browserbase,2026-08-07
Instituto Cervantes,Instituto Cervantes New York,211 East 49th Street,New York,http://nyork.cervantes.es,open,,artguide,211 E 49th Street,http:homepage,2026-08-07
Instituto de Visión New York,New York,"88 Eldridge Street, 5th floor",New York,http://institutodevision.com,open,,artguide,"88 Eldridge Street, 5th Floor",http:homepage,2026-08-07
Interference Archive,,314 7th Street,"Brooklyn, NY",http://interferencearchive.org,open,,artguide,314 7th Street,http:homepage,2026-08-07
International Objects,,"53 Scott Ave, Second Floor",Brooklyn,http://objects.international,open,,artguide,53 Scott Avenue,browserbase,2026-08-07
International Waters,,262 Meserole St.,"Brooklyn, NY",http://internationalwaters.international,open,,artguide,262 Meserole Street,http:homepage,2026-08-07
IRL Gallery,IRL Gallery,86 Walker St. Floor 2,New York,http://irl-nyc.com,open,,artguide,"86 Walker Street, Floor 2",http:/about,2026-08-07
Isabel Sullivan Gallery,Tribeca,39 Lispenard St.,"New York, NY 10013",http://is.gallery,open,,artguide,39 Lispenard Street,http:homepage,2026-08-07
Isabel Sullivan Gallery,Chelsea,501 West 23rd Street,"New York, NY 10011",http://is.gallery,open,,artguide,39 Lispenard Street,http:homepage,2026-08-07
ISSUE Project Room,,"22 Boerum Place, Brooklyn 11201",Brooklyn,http://issueprojectroom.org,open,,artguide,22 Boerum Place,http:homepage,2026-08-07
Jack Barrett,,87 Franklin St,New York,http://jackbarrettgallery.com,open,,artguide,87 Franklin Street,browserbase,2026-08-07
Jack Hanley Gallery,,,New York,https://www.jackhanley.com/,unclear,,major-added,,http:/contact,2026-08-07
Jack Shainman Gallery,,46 Lafayette Street,"New York, NY",http://jackshainman.com,open,,artguide,346 Broadway,http:/about,2026-08-07
Jack Shainman Gallery,,513 West 20th Street,"New York, NY",http://jackshainman.com,open,,artguide,346 Broadway,http:/about,2026-08-07
Jacqueline Sullivan Gallery,,"52 Walker Street, 4th Floor",New York,http://jacquelinesullivangallery.com,unclear,,artguide,"52 Walker Street, 4th Floor",browserbase,2026-08-07
Jamaica Center for Arts and Learning (JCAL),,161-04 Jamaica Avenue,New York,http://jcal.org,open,,artguide,161-04 Jamaica Avenue,browserbase,2026-08-07
James Cohan,NORR COHAN,48 WALKER ST,"NEW YORK, NY",https://www.jamescohan.com/,open,,major-added,,http:homepage,2026-08-07
James Cohan,NORR COHAN,"52 WALKER ST, 2ND FL","NEW YORK, NY",https://www.jamescohan.com/,open,,major-added,,http:homepage,2026-08-07
James Fuentes,New York,52 White St,"New York, NY 10013",https://jamesfuentes.com/,open,,major-added,,http:/contact,2026-08-07
Jason Jacques Gallery,,29 East 73rd Street,New York,http://jasonjacques.com,unclear,,artguide,29 East 73rd Street,browserbase,2026-08-07
Jason McCoy Gallery,,41 East 57th Street 11th Floor,New York,http://www.jasonmccoyinc.com,unclear,,artguide,41 East 57th Street 11th Floor,browserbase,2026-08-07
